analysis_mode,parameter_draw,world_model,policy,simulated_benefit_draw_mean,within_draw_mc_sd,n_mc_replicates,n_orders,within_draw_mc_se
frozen_policy,4,four_state_semimarkov,maximum_skill_uncertainty,0.00180555555555555,0.0036717136981907327,3,5,0.002119864892037656
frozen_policy,4,four_state_semimarkov,target_success_070,-0.0031944444444444464,0.0018751543146375241,3,5,0.0010826208483280628
frozen_policy,4,four_state_semimarkov,two_corner_robust_response_information_gain,0.0050833333333333295,0.002376096238230538,3,5,0.0013718398027628583
frozen_policy,5,binary_bktf,balanced_mastery,0.013916666666666666,0.005886071128803434,3,5,0.003398324750683947
frozen_policy,5,binary_bktf,blocked_median_item,0.0,0.0,3,5,0.0
frozen_policy,5,binary_bktf,interleaved_median_item,0.0027499999999999977,0.004264680527307998,3,5,0.0024622144504490282
frozen_policy,5,binary_bktf,least_mastery_target_item,0.01675,0.0030720514318611316,3,5,0.0017736497211493997
frozen_policy,5,binary_bktf,maximum_response_information_gain,0.019499999999999997,0.003881043674065006,3,5,0.0022407216099581254
frozen_policy,5,binary_bktf,maximum_skill_uncertainty,0.013583333333333334,0.009553576991542663,3,5,0.005515760247790972
frozen_policy,5,binary_bktf,target_success_070,0.004833333333333332,0.0036855573979159995,3,5,0.002127857555800619
frozen_policy,5,binary_bktf,two_corner_robust_response_information_gain,0.01975,0.005634713834792325,3,5,0.0032532035493238578
frozen_policy,5,continuous_latent_trait,balanced_mastery,-0.0016020827809435582,0.0003483204249027152,3,5,0.00020110289108182748
frozen_policy,5,continuous_latent_trait,blocked_median_item,0.0,0.0,3,5,0.0
frozen_policy,5,continuous_latent_trait,interleaved_median_item,0.00016693979218937124,4.852404549872198e-06,3,5,2.8015370730856785e-06
frozen_policy,5,continuous_latent_trait,least_mastery_target_item,-0.0048680832009512,0.00045668428732465464,3,5,0.0002636667962215618
frozen_policy,5,continuous_latent_trait,maximum_response_information_gain,0.0012581161562467303,0.0003531474400878618,3,5,0.00020388976959835427
frozen_policy,5,continuous_latent_trait,maximum_skill_uncertainty,-0.00025539955013507217,0.0005218488690489165,3,5,0.00030128958502169374
frozen_policy,5,continuous_latent_trait,target_success_070,0.0012618246018598071,0.0005387886742611194,3,5,0.0003110697861209789
frozen_policy,5,continuous_latent_trait,two_corner_robust_response_information_gain,0.0014675725659476213,0.0005241914776961417,3,5,0.0003026420907547751
frozen_policy,5,four_state_semimarkov,balanced_mastery,0.005916666666666665,0.0009464847243000394,3,5,0.0005464532103584965
frozen_policy,5,four_state_semimarkov,blocked_median_item,0.0,0.0,3,5,0.0
frozen_policy,5,four_state_semimarkov,interleaved_median_item,-8.333333333333305e-05,0.002063236400523327,3,5,0.0011912100912439775
frozen_policy,5,four_state_semimarkov,least_mastery_target_item,0.0049722222222222225,0.002335316617442643,3,5,0.0013482956777235164
