skill_id,model,optimizer_success,optimizer_status,optimizer_message,n_train_events,n_train_sequences,nll_train,log_loss_train_objective,n_parameters,aic_train,bic_train,n_iterations,n_function_evaluations,gradient_inf_norm,hessian_status,p_init,p_learn,slip,guess,lambda_per_day,retention_half_life_days,se_p_init_approx,se_p_learn_approx,se_slip_approx,se_guess_approx,se_lambda_per_day_approx
87,BKT,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,54297,5500,35038.10281554448,0.6453045806498422,4,70084.20563108896,70119.81452811207,35,81,7.645251707594104e-05,positive_definite,0.49832461188115246,0.017600120441416036,0.25727588293203896,0.48702188952793113,0.0,inf,0.02817343318950285,0.0025965183865236177,0.005803730611937437,0.008499109507841659,nan
87,BKT-F,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,54297,5500,35030.39376090896,0.6451626012654283,5,70070.78752181793,70115.29864309682,27,33,4.634470299356105e-05,positive_definite,0.5340970779254592,0.023559965718736687,0.25985539440647715,0.4717827072635369,0.0006580499145644471,1053.3352641170518,0.02839220810929145,0.0034559383830681926,0.0054758198113610355,0.009484752873610572,0.0001958815510466537
88,BKT,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,50839,5500,31083.294593197872,0.6114064909458855,4,62174.589186395744,62209.93486261798,20,52,0.03681230354874145,positive_definite,0.6739446189591027,0.018793557248470018,0.234789567321694,0.4899395366577667,0.0,inf,0.015173857559336413,0.0031336776260550113,0.0035464987628482875,0.0003150832889896118,nan
88,BKT-F,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,50839,5500,31065.256727115873,0.6110516872305882,5,62140.51345423175,62184.69554950954,35,52,0.027548848960426437,positive_definite,0.6712477743778164,0.025338505119348514,0.22729770396016458,0.4899395366577667,0.0008208050775037638,844.4723352198889,0.015696757124633743,0.00377119140604772,0.0039006067014479406,0.00036419515146836497,0.00018973076758060489
90,BKT,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,49586,5500,32246.19646393118,0.6503084835221873,4,64500.39292786236,64535.63878312158,33,64,0.02267944212353706,positive_definite,0.618021669047251,0.002579710139620674,0.27706390567370953,0.4899395366577667,0.0,inf,0.017379097265144854,0.001632836247267862,0.004421206374206511,0.0004009847416681779,nan
90,BKT-F,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,49586,5500,32220.163932695985,0.649783485917315,5,64450.32786539197,64494.385184466,38,47,0.009503045986813783,positive_definite,0.6181967532132646,0.007301878529796502,0.2655670596334306,0.4899395366577667,0.0011848891330371385,584.989060354746,0.019476386919560985,0.0025586452718410675,0.005162706704030159,0.0006185491318062886,0.0002259685393412331
94,BKT,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,50582,5500,33894.19700397425,0.6700841604518258,4,67796.3940079485,67831.71941219155,35,62,0.002761952870919734,positive_definite,0.5835080173590212,0.004108783009153786,0.3231562142539916,0.4899395366577667,0.0,inf,0.022404807231694506,0.0017407690641125773,0.005197876265964311,0.0011435009471709473,nan
94,BKT-F,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,50582,5500,33886.43714294963,0.6699307489413158,5,67782.87428589926,67827.03104120308,74,149,0.00010331528870235026,positive_definite,0.6072527070558857,0.00696930371707184,0.3197100483661227,0.48486295700771903,0.0009011656591063008,769.1673262908726,0.04836878271839704,0.0025283830203159225,0.008400779759473969,0.01115891503058172,0.00027970021501463714
96,BKT,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,49170,5500,31841.15528734707,0.6475728144670951,4,63690.31057469414,63725.52273053576,27,51,3.0312002102496688e-05,positive_definite,0.7177370218120965,0.061606370581161474,0.30803703999758897,0.4217973251966133,0.0,inf,0.033722380236446525,0.016856995180638636,0.0056181792900128116,0.026453648017833477,nan
96,BKT-F,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,49170,5500,31811.338951794027,0.6469664216350219,5,63632.67790358805,63676.69309839008,30,61,4.099475282563363e-05,positive_definite,0.710095501572366,0.08183107579285831,0.2983138768529483,0.40641280750617415,0.0007755977538254368,893.6941567212834,0.02958506301534499,0.014454423956360095,0.005162079883321162,0.0202785836447204,0.00015184046663010495
